"Query","UTC DateTime","Response"
"previous work",04/26/2017 20:16:36,"{""query"":""previous work"",""intents"":[{""intent"":""Internship"",""score"":0.192915455},{""intent"":""Education"",""score"":0.07227352},{""intent"":""Interests"",""score"":0.0668845847},{""intent"":""skills"",""score"":0.0485933721},{""intent"":""None"",""score"":0.0375353321},{""intent"":""languages"",""score"":0.035256803},{""intent"":""Research"",""score"":3.40114748E-05},{""intent"":""workExperience"",""score"":1.55706075E-05}],""entities"":[]}"
"previous work",04/26/2017 20:18:39,"{""query"":""previous work"",""intents"":[{""intent"":""Internship"",""score"":0.192915455},{""intent"":""Education"",""score"":0.07227352},{""intent"":""Interests"",""score"":0.0668845847},{""intent"":""skills"",""score"":0.0485933721},{""intent"":""None"",""score"":0.0375353321},{""intent"":""languages"",""score"":0.035256803},{""intent"":""Research"",""score"":3.40114748E-05},{""intent"":""workExperience"",""score"":1.55706075E-05}],""entities"":[]}"
"previous work",04/26/2017 20:18:55,"{""query"":""previous work"",""intents"":[{""intent"":""workExperience"",""score"":0.7830505},{""intent"":""Interests"",""score"":0.0557113662},{""intent"":""Education"",""score"":0.05297797},{""intent"":""Internship"",""score"":0.05145404},{""intent"":""Research"",""score"":0.04849776},{""intent"":""skills"",""score"":0.0418094248},{""intent"":""languages"",""score"":0.04027249},{""intent"":""None"",""score"":0.0304685943}],""entities"":[]}"
"areas of interest",04/26/2017 20:19:25,"{""query"":""areas of interest"",""intents"":[{""intent"":""languages"",""score"":0.0710513145},{""intent"":""Research"",""score"":0.06908292},{""intent"":""None"",""score"":0.0659879},{""intent"":""Education"",""score"":0.062057592},{""intent"":""Interests"",""score"":0.0568237342},{""intent"":""skills"",""score"":0.0404027551},{""intent"":""workExperience"",""score"":0.03574807},{""intent"":""Internship"",""score"":0.0258239936}],""entities"":[]}"
"areas of interest",04/26/2017 20:22:29,"{""query"":""areas of interest"",""intents"":[{""intent"":""Interests"",""score"":0.410455972},{""intent"":""workExperience"",""score"":0.06742154},{""intent"":""languages"",""score"":0.06445565},{""intent"":""Education"",""score"":0.04371777},{""intent"":""None"",""score"":0.0272557978},{""intent"":""Internship"",""score"":0.0121869668},{""intent"":""Research"",""score"":1.8424754E-07},{""intent"":""skills"",""score"":1E-15}],""entities"":[]}"
"scholastic",04/26/2017 20:22:45,"{""query"":""scholastic"",""intents"":[{""intent"":""Education"",""score"":0.186599076},{""intent"":""Interests"",""score"":0.15371573},{""intent"":""languages"",""score"":0.07916983},{""intent"":""workExperience"",""score"":0.06909175},{""intent"":""Internship"",""score"":0.0206139982},{""intent"":""None"",""score"":0.0137538621},{""intent"":""Research"",""score"":1.9292449E-05},{""intent"":""skills"",""score"":7.828553E-07}],""entities"":[]}"
"abhi",04/26/2017 20:23:00,"{""query"":""abhi"",""intents"":[{""intent"":""Education"",""score"":0.186599076},{""intent"":""Interests"",""score"":0.15371573},{""intent"":""languages"",""score"":0.07916983},{""intent"":""workExperience"",""score"":0.06909175},{""intent"":""Internship"",""score"":0.0206139982},{""intent"":""None"",""score"":0.0137538621},{""intent"":""Research"",""score"":1.9292449E-05},{""intent"":""skills"",""score"":7.828553E-07}],""entities"":[]}"
"abbhi",04/26/2017 20:23:00,"{""query"":""abbhi"",""intents"":[{""intent"":""None"",""score"":0.5074903},{""intent"":""Interests"",""score"":0.161221564},{""intent"":""Education"",""score"":0.0576611944},{""intent"":""languages"",""score"":0.04033866},{""intent"":""workExperience"",""score"":0.027041113},{""intent"":""Internship"",""score"":0.003386723},{""intent"":""Research"",""score"":6.60971466E-07},{""intent"":""skills"",""score"":1E-15}],""entities"":[]}"
"interned under advocate mohan",04/26/2017 20:24:18,"{""query"":""Interned Under Advocate Mohan"",""intents"":[{""intent"":""Interests"",""score"":0.08631682},{""intent"":""None"",""score"":0.0805142},{""intent"":""workExperience"",""score"":0.0788561553},{""intent"":""languages"",""score"":0.0721416},{""intent"":""Education"",""score"":0.03293231},{""intent"":""Internship"",""score"":0.01915204},{""intent"":""Research"",""score"":2.40425925E-06},{""intent"":""skills"",""score"":1E-15}],""entities"":[]}"
"previous work",04/26/2017 20:25:35,"{""query"":""previous work"",""intents"":[{""intent"":""workExperience"",""score"":0.377434164},{""intent"":""Interests"",""score"":0.07639266},{""intent"":""languages"",""score"":0.0558694},{""intent"":""Education"",""score"":0.0510016233},{""intent"":""Internship"",""score"":0.0506616831},{""intent"":""None"",""score"":0.0166215859},{""intent"":""Research"",""score"":3.509168E-07},{""intent"":""skills"",""score"":1E-15}],""entities"":[]}"
